ID,ra,dec,Angular size,experiment,Wavelength 1,Wavelength 2,Processed by:,"Notes (Bluer region, nice looking, clear data etc)",Cosmos imaging url (not for the colour gradient program!!),,,,,,,,,,,,
818815,150.189949,2.538093,4.99854,Subaru,V,B,Ishbel,weird merger thing . Classic non-AGN ,,,,,,,,,,,,,
551551,150.236974,2.138959,4.70906,Subaru,V,B,Ishbel,"General trend of decreasing as the radius increases, red is higher than blue throughout by same amount. % had a budge in it",,,,,,,,,,,,,
814950,150.27272,2.534354,4.93624,Subaru,V,B,Ishbel,Classic non-AGN,,,,,,,,,,,,,
880282,150.274004,2.631872,5.93809,Subaru,V,B,Ishbel,Almost classic non-AGN bar wee kink near end,,,,,,,,,,,,,
595481,150.31978,2.200825,8.58663,Subaru,V,B,Ishbel,"Huge,  red decreases more than blue which is almost constant. % sort of creates a sine wave. Blue a lot lower than red. ",,,,,,,,,,,,,
596558,150.329456,2.202851,6.97338,Subaru,V,B,Ishbel,3 galaxies merging? Red decreases through out where as strength of blue does really decrease. Constant percentage through out,,,,,,,,,,,,,
753883,150.350926,2.441748,4.08318,Subaru,V,B,Ishbel,"Lower magnitude, classic non-AGN pattern",,,,,,,,,,,,,
990935,150.367086,2.810595,3.59109,Subaru,V,B,Ishbel,Bluer core than red,,,,,,,,,,,,,
554122,150.421367,2.140834,5.27581,Subaru,V,B,Ishbel,constant %,,,,,,,,,,,,,
596761,150.45656,2.210514,6.11395,Subaru,V,B,Ishbel,Had to keep the radius really small as there was lots of noise. More % blue in core than red only just. Point wasnt quite on galaxy,,,,,,,,,,,,,
599961,150.485517,2.20687,6.71675,Subaru,V,B,Ishbel,In between two galaxies possibly merging? ,,,,,,,,,,,,,
552529,150.505914,2.140288,3.88199,Subaru,V,B,Ishbel,Almost non-AGN structure just not as extreme,,,,,,,,,,,,,
437093,150.543448,1.958793,3.90149,Subaru,V,B,Ishbel,"red decreases in agitude as r increases, blue constant",,,,,,,,,,,,,
483955,150.544439,2.033023,4.52376,Subaru,V,B,Ishbel,"Classic non-AGN magnitude, almost classic % bar weird kink",,,,,,,,,,,,,
754201,150.549415,2.442445,4.19507,Subaru,V,B,Ishbel,Almost classic non-AGN slightly too much decrease in blue to be full on classc,,,,,,,,,,,,,
808490,150.618714,2.525888,5.4815,Subaru,V,B,Ishbel,3 galaxies really close together. Gets redder towards outside but dont think we can keep this one.,,,,,,,,,,,,,
934303,150.635061,2.717172,5.23223,Subaru,V,B,Ishbel,Both decrease. Very low percentage of blue. Slight rise half way out. ,,,,,,,,,,,,,
858925,150.717535,2.601704,4.01328,Subaru,V,B,Ishbel,"General trend of decreasing as the radius increases, red is higher than blue throughout by same amount.",,,,,,,,,,,,,
818838,150.726414,2.539612,5.81772,Subaru,V,B,Ishbel,Merger,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
508437,150.48379,2.071252,4.48603,,,,,,,,,,,,,,,,,,
208048,150.176803,1.594989,4.03165,,,,,,,,,,,,,,,,,,
506681,150.211471,2.069093,6.06982,,,,,,,,,,,,,,,,,,
510518,150.291481,2.073071,5.12346,,,,,,,,,,,,,,,,,,
504031,150.045011,2.063471,3.94906,,,,,,,,,,,,,,,,,,
503138,150.146627,2.062968,5.16845,,,,,,,,,,,,,,,,,,
936752,149.65509,2.721739,4.18211,,,,,,,,,,,,,,,,,,
621265,149.934471,2.24247,4.21117,,,,,,,,,,,,,,,,,,
624814,150.195351,2.246358,3.85194,,,,,,,,,,,,,,,,,,
601317,149.828757,2.212309,4.37975,,,,,,,,,,,,,,,,,,
590831,150.087887,2.194555,5.42701,,,,,,,,,,,,,,,,,,
862431,149.935475,2.604228,5.90955,,,,,,,,,,,,,,,,,,
976737,150.526784,2.78515,5.38458,,,,,,,,,,,,,,,,,,
938172,150.092846,2.734433,10.85406,,,,,,,,,,,,,,,,,,
887121,150.360392,2.644798,4.00437,,,,,,,,,,,,,,,,,,
317772,150.390295,1.76965,4.927,,,,,,,,,,,,,,,,,,
881252,150.712376,2.633416,6.38086,,,,,,,,,,,,,,,,,,
986942,150.431892,2.802628,4.05988,,,,,,,,,,,,,,,,,,
308353,149.808679,1.753179,5.21107,,,,,,,,,,,,,,,,,,
899065,150.643917,2.665543,4.47621,,,,,,,,,,,,,,,,,,
783743,149.93968,2.488034,5.20116,,,,,,,,,,,,,,,,,,
400895,150.757774,1.901812,3.58806,,,,,,,,,,,,,,,,,,
479035,149.831034,2.025987,3.89216,,,,,,,,,,,,,,,,,,
733796,149.670145,2.408044,4.75596,,,,,,,,,,,,,,,,,,
440010,150.51051,1.962739,5.65427,,,,,,,,,,,,,,,,,,
736471,150.075213,2.41524,4.41982,,,,,,,,,,,,,,,,,,
500650,149.540224,2.059944,4.84909,,,,,,,,,,,,,,,,,,
806508,149.889828,2.52183,4.64281,,,,,,,,,,,,,,,,,,
453783,150.197559,1.985741,6.53882,,,,,,,,,,,,,,,,,,
804112,149.866121,2.520293,4.99875,,,,,,,,,,,,,,,,,,
